obitos;dens;total;fec;est;renda;anal;pib;des;gini;esp;mort;dep;env;extpob;pob
0;72,73;14088;3,43;5,96;178,67;25,7;4144,14;3,09;0,5881;71,69;20,8;91,67;3,23;30,88;60,76
0;69,07;9467;3,79;7,18;178,69;25;3815,53;8;0,6698;71,36;21,7;74,76;3,51;42,81;62,64
2;67,42;10214;3,6;8,65;226,82;24,6;5074,55;7,87;0,5807;69,48;27;73,71;4,1;32,44;51,08
4;65,45;16317;3,76;7,27;229,94;25,6;3940,46;9,38;0,5984;70,42;24,3;74,03;4,31;32,25;52,29
7;44,68;18007;2,64;8,74;380,62;18;5831,57;6,69;0,5753;71,29;21,9;51,28;3,18;16,56;26,84
1;69,88;15153;3,62;4,63;159,21;50,6;4529,66;7,99;0,6594;68,95;28,6;72,78;2,87;44,75;63,67
10;67,07;32135;4,24;8,11;228,43;18,9;4854,07;5,26;0,5982;72,91;17,8;80,26;4,96;34,3;51,58
27;72,88;25718;2,72;4,34;237,29;41,2;3643,06;9,93;0,7367;68,69;29,5;60,94;3,89;47,37;60,97
4;74,59;27355;4,86;8,21;148,28;14,8;4300,78;11,43;0,6049;71,45;21,5;94,46;4,88;46,23;68,75
11;71,69;33411;4,33;8,79;211,1;28,4;4099,93;6,13;0,5665;70,78;23,2;81,57;4,07;28,08;52,87
1;74,68;15486;4,58;6,83;193,4;40,1;4755,04;5,5;0,6574;68,85;29;94,16;4,1;43,29;64,14
2;75,22;14979;4,47;7,83;175,55;10,7;3685,07;7,3;0,6097;69,99;25,5;83,5;4,06;40,05;61,77
15;51,55;30632;3,04;7,53;288,42;35,3;5008,78;8,14;0,6427;71,59;21,1;69,05;4,89;27,28;49,75
5;74,85;34961;4,04;7,92;219,83;22,8;4526,16;10;0,6364;71,53;21,3;79,29;4,58;36,98;56,26
1;65,16;10975;4,05;7,77;235,49;24,8;6113,94;4,91;0,597;71,49;21,4;73,19;3,69;29,67;50,44
3;51,74;12738;3,39;6,86;206,44;40,2;3869,02;4,69;0,6185;70,1;25,2;59,54;4,35;34,1;57,35
2;59,13;25774;4,3;7,22;222,32;42,2;5025,85;3,84;0,5402;69,68;26,4;81,66;3,9;23,92;48,31
